Item,Meaning_Mnem,Reading_Mnem,Meaning_Score,Reading_Score,Meaning_User,Reading_User,Info,Last_Updated
k曜,,,,,,,redfr:8586,Mon Dec 02 2019 19:51:12 GMT-0500 (EST)
v道,,,,,,,redfr:8605,Tue Jul 28 2020 00:44:14 GMT-0400 (EDT)
k味,,!,0,0|0,,c,,Wed Jul 01 2020 07:03:24 GMT-0400 (EDT)
v情け,,!,,,,c,,Wed May 13 2020 04:31:36 GMT-0400 (EDT)
k伝,"Think about the leader transmitting data through the ""cloud"" - a metaphor for the Internet.",!,0,,c,c,,Sat Jun 20 2020 10:14:23 GMT-0400 (EDT)
v急ぐ,,,,,,,,Thu Sep 03 2020 10:45:43 GMT-0400 (EDT)
v操る,,!,,,,EskimoJo|c,,Fri Aug 14 2020 01:05:19 GMT-0400 (EDT)
v勢い,,!,,,,c,,Thu Mar 07 2019 02:38:01 GMT-0500 (EST)
v自信,,!,,,,Thomas,,Sat Nov 21 2015 14:43:56 GMT-0500 (EST)
v鉛,,!,,,,ript:void(0)|c,,Fri Apr 26 2019 02:10:59 GMT-0400 (EDT)
v腹切り,,!,,,,xpetersx,,Tue May 24 2016 01:11:25 GMT-0400 (EDT)
k婦,,!,,,,c,,Wed Nov 29 2017 09:35:30 GMT-0500 (EST)
k巨,,!,,,,xpetersx,,Tue May 17 2016 08:31:56 GMT-0400 (EDT)
v清い,,"Do you know the legend of <span class=""highlight-reading"">Kiyo</span>hime (清姫)? What a <span class=""highlight-vocabulary"">pure</span> maiden! Pure crazy, at least, given that she burned her crush to death for turning her down.",,0,,fioraaeterna,,Fri Jan 10 2020 19:36:47 GMT-0500 (EST)
v捜査,,!,,,,c,,Tue Aug 28 2018 21:00:10 GMT-0400 (EDT)
k拓,,!,,,,ript:void(0),,Mon Mar 25 2019 04:52:28 GMT-0400 (EDT)
k翔,,!,,,,Bud,,Tue Jan 03 2017 14:20:30 GMT-0500 (EST)
v型,,!,,,,xpetersx,,Thu Mar 31 2016 10:52:20 GMT-0400 (EDT)
k爪,,!,,,,c,,Fri Nov 16 2018 03:42:33 GMT-0500 (EST)
k尽,!,!,,,ript:void(0),ript:void(0),,Thu Jan 03 2019 20:41:56 GMT-0500 (EST)
v亡くす,,!,,,,Izana,,Sat Apr 11 2015 00:17:16 GMT-0400 (EDT)
v大使館,!,!,,,Izana,Izana,,Tue Jun 02 2015 09:19:24 GMT-0400 (EDT)
v上着,,!,,,,Izana,,Tue Jun 02 2015 09:25:05 GMT-0400 (EDT)
k満,"If you want to <span class=""highlight-radical"">water</span> <span class=""highlight-radical"">both</span> of your <span class=""highlight-radical"">flowers</span>, you need to make your watering can <span class=""highlight-kanji"">full</span> first. Otherwise, there won't be enough water and you'll have to fill it twice.",!,0,,c,xpetersx,,Tue Jan 08 2019 22:34:03 GMT-0500 (EST)
v両親,!,!,,,Izana,Izana,,Tue Jun 02 2015 09:21:40 GMT-0400 (EDT)
v余り,!,!,,,Izana,Izana,,Tue Jun 09 2015 05:22:24 GMT-0400 (EDT)
v茶わん,,!,,,,Izana,,Mon Jun 08 2015 08:46:59 GMT-0400 (EDT)
v意図的,!,!,,,c,gcr|blupiac|c,,Fri Sep 04 2020 20:50:16 GMT-0400 (EDT)
v折れる,!,!,,,gcr,gcr,,Tue Aug 04 2015 10:30:51 GMT-0400 (EDT)
v狩人,,!,,,,Macchan,,Sun Aug 09 2015 08:18:21 GMT-0400 (EDT)
k油,,!,,,,c,,Wed Mar 21 2018 10:59:04 GMT-0400 (EDT)
v幸い,,!,,,,c,,Fri Feb 02 2018 02:07:55 GMT-0500 (EST)
v家事,,!,,,,c,,Sat Jun 23 2018 08:21:33 GMT-0400 (EDT)
k亮,!,!,,,ript:void(0),ript:void(0),,Tue Feb 05 2019 20:15:08 GMT-0500 (EST)
v当たる,,,,,,,redfr:8586,Mon Feb 03 2020 04:32:38 GMT-0500 (EST)
k千,,"""Can you <span class=""highlight-reading"">SEN</span>D me a <span class=""highlight-vocabulary"">THOUSAND</span> dollars? I promise I'll pay you back!"".",,0,,c,,Thu Jul 12 2018 18:52:57 GMT-0400 (EDT)
k豚,,"""Eat this pork!""

""<b>But-a</b> I can't! I'm vegan/muslim/jewish/vegetarian!"".",,0,,c,,Sat Feb 09 2019 18:27:09 GMT-0500 (EST)
k子,,"""Her name is <span class=""highlight-reading"">SUE</span>. <span class=""highlight-reading"">SHE</span> is a <span class=""highlight-vocabulary"">CHILD</span>.",,0,,c,,Thu Jul 12 2018 18:55:30 GMT-0400 (EDT)
v生まれ,,"""Ooh, Murray -- we found your birthplace!"" I exclaim to a searching orphan by that name.",,1,,isnorden,,Wed Oct 02 2019 15:43:32 GMT-0400 (EDT)
k呼,!,"""Yo!!"" Said Bernie Sanders, ""Check out this dope little bird, yo! He's obviously making a call for peace! Yo!"".",,0,c,parpie,,Tue Apr 03 2018 23:24:14 GMT-0400 (EDT)
v早い,,"[Continuing from previous read mnemonic] You and your fellow forced SOWers get up extra early next day with a crazy plan. People in kung-fu movies shout HAYA <span class=""highlight-reading"">はや</span> a lot and they never get hit by bullets! So, everybody is going to QUICKly shout <span class=""highlight-reading"">はや</span> and karate chop the guards nearest them and everybody will make their escape. And it works! Except you stop to gloat. ""HA! YA <span class=""highlight-reading"">はや</span> thought you could keep us here sowing forever didn't you?!"" But because you stopped shouting <span class=""highlight-reading"">はや</span> you get shot in the leg. Back to SOWing for you! Doh!",,5,,rubiksmoose,,Thu Oct 15 2020 22:38:03 GMT-0400 (EDT)
k来,,,,,,,redfr:8586,Wed Mar 04 2020 18:55:21 GMT-0500 (EST)
v暇,,<b>Hima</b>n likes to sing HEEYEYAYEYAYEYEYAEYEYAYEYAEYYA in his free time!,,0,,c,,Mon Mar 11 2019 22:22:48 GMT-0400 (EDT)
v高校,,,,,,,redfr:8587,Sat Mar 21 2020 19:02:35 GMT-0400 (EDT)
v日記,,"In my diary, I have glued in a lot of pictures of <span class=""highlight-reading"">にっき</span> Minaj. I keep collecting pictures and drawings and everything and put it in there because I love her so much.",,0,,c,,Sat May 30 2020 15:59:57 GMT-0400 (EDT)
v死ぬ,,<b>She knew</b> it was time to die.,,1,,seabee,,Sat Sep 14 2019 19:25:35 GMT-0400 (EDT)
k四,,<b>She</b>ep have four legs.,,1,,c,,Sat Jul 20 2019 07:18:36 GMT-0400 (EDT)
k督,,"<b>Toku</b> it up, baby. Hit that bong. Share it with your coach, yeah, do it.",,0,,c,,Thu Apr 11 2019 22:13:00 GMT-0400 (EDT)
v牛,,"<b>Ush</b>ering the cows around in your field.
<br>
For the German-speakers: Don't know about you, but my cow is called <b>Uschi</b>.",,1,,c,,Thu Nov 26 2020 18:53:12 GMT-0500 (EST)
k昨,,"<b>Yesterday</b> was a nice day, the <b>sun</b> was out I watched the <b>SAKU</b>ra bloom.",,2,,VikiO,,Sun May 31 2020 03:59:59 GMT-0400 (EDT)
v予想,,,,,,,redfr:8585,Thu Sep 19 2019 21:58:36 GMT-0400 (EDT)
k陽,,,,,,,,Mon Jul 15 2019 08:58:14 GMT-0400 (EDT)
k念,,"<span class=""highlight-radical"">Now</span>, you have your <span class=""highlight-radical"">heart</span> set on learning this kanji. Imagine if you were stuck on it for a whole ねん. It's an awful <span class=""highlight-kanji"">thought</span>. 

Taco Bell. This addon is buggy AF. I can for some reason edit this person's input.  I also can't upvote it. Same here. Yeah the plugin is completely abandoned.",,0,,c,,Sat Jul 11 2020 13:00:34 GMT-0400 (EDT)
v危ない,,"<span class=""highlight-reading"">Abu</span> from Disney's Aladdin is  always getting himself into <span class=""highlight-vocabulary"">dangerous</span>situations. If he's not stealing apples from merchants with swords, he's taking treasure from enchanted collapsing caves. Very <span class=""highlight-vocabulary"">dangerous</span> Abu!",,4,,Ethan,,Sat Nov 30 2019 22:27:09 GMT-0500 (EST)
v祈る,,,,,,,redfr:8586,Sun Dec 29 2019 00:28:48 GMT-0500 (EST)
v守る,,"<span class=""highlight-reading"">Mamma Ru</span> (まもる) has only one goal in life: <span class=""highlight-vocabulary"">to protect</span> her drag children. Can I get an amen up in here?",,1,,Pier,,Tue Sep 15 2020 15:25:27 GMT-0400 (EDT)
v芸人,,"<span class=""highlight-reading"">Nin</span>tendo has to hire a lot of <span class=""highlight-vocabulary"">comedians</span> in order to sell their video games.",,2,,gcr,,Tue Feb 21 2017 08:53:10 GMT-0500 (EST)
v乱暴,,"<span class=""highlight-reading"">Rambo</span>?! Seriously? No further comment...",,1,,c,,Sat Nov 02 2019 15:33:38 GMT-0400 (EDT)
v連続,,"<span class=""highlight-reading"">Ren</span> (れん) the Chihuahua really wants to get back to television, so he had to convince John K to give him a new <span class=""highlight-vocabulary"">series</span> where <span class=""highlight-reading"">Ren</span> is a boso<span class=""highlight-reading"">zoku</span>. Still a better <i>Ren & Stimpy</i> spin-off than <i>Adult Party Cartoon</i>.",,-1,,RayOElGatubelo,,Thu Apr 16 2020 21:10:33 GMT-0400 (EDT)
v妨げる,"<span class=""highlight-reading"">Summerti</span>me (さまた) in Tokyo is definitely <span class=""highlight-vocabulary"">prevent</span>ing you from doing anything. The heat and humidity is <span class=""highlight-vocabulary"">obstruct</span>ing your daily life.","<span class=""highlight-reading"">Summerti</span>me (さまた) in Tokyo is definitely <span class=""highlight-vocabulary"">prevent</span>ing you from doing anything. The heat and humidity is <span class=""highlight-vocabulary"">obstruct</span>ing your daily life.",0,1,c,c,,Wed May 06 2020 12:53:58 GMT-0400 (EDT)
v以下,,"<span class=""highlight-reading"">いか</span> also means ""squid"".  Squids are cheap!  Just think about all the things that a squid costs <span class=""highlight-vocabulary"">less than</span> at the market.",,0,,c,,Sat Jan 19 2019 19:04:19 GMT-0500 (EST)
v征服,,"<span class=""highlight-vocabulary"">Conquest</span> requires a uniform! Can you conquer without a <span class=""highlight-reading"">制服</span> (せいふく) fitting of a conqueror? I think not!",,1,,Samuel-H,,Tue Mar 07 2017 21:40:37 GMT-0500 (EST)
v人類,,"<span class=""highlight-vocabulary"">Mankind</span>'s <span class=""highlight-reading"">jeans</span> (じん)  are <span class=""highlight-reading"">rui</span>ned (るい)! Well, no wonder since he's always bleeding and falling off of steel cages in his wrestling matches. You should take better care of your clothes, Mr. Foley!",,0,,c,,Wed Nov 14 2018 22:07:38 GMT-0500 (EST)
v無し,!,"<span class=""highlight-vocabulary"">Without</span> Vince McMahon, Kevin <span class=""highlight-reading"">Nash</span> (なし)  was <span class=""highlight-kanji"">nothing</span>. Once Vince gave him the Diesel gimmick, Big Sexy became the main eventer we all know and love. Big step up from Oz and Vinnie Vegas back in Atlanta.",,0,ript:void(0),RayOElGatubelo,,Wed Jun 10 2020 15:06:21 GMT-0400 (EDT)
k松,,"A <span class=""highlight-kanji"">pine</span> tree in <span class=""highlight-radical"">public</span> is a great place for a picnic!

I once went on a picnic underneath a <span class=""highlight-kanji"">pine</span> tree and forgot all my picnic <span class=""highlight-vocabulary"">mats</span>. It was in the early morning, so the grass was still wet from the morning dew. I had my picnic anyway, but my pants were wet for the rest of the day. It was quite an unpleasant experience.",,3,,gcr,,Thu May 28 2020 07:16:37 GMT-0400 (EDT)
k撃,,"A <span class=""highlight-radical"">car</span> is coming for you with someone leaning out of the window, holding a <span class=""highlight-radical"">weapon</span> in his <span class=""highlight-radical"">hand</span>? He seems to <span class=""highlight-kanji"">attack</span> you! What a drama (劇、<span class=""highlight-reading"">げき</span>)!",,0,,BobMcGraw,,Thu Apr 04 2019 23:55:00 GMT-0400 (EDT)
v妨害,,A BOring GUY would be an OBSTRUCTION at a party.,,0,,c,,Sun Jun 24 2018 00:46:00 GMT-0400 (EDT)
k厚,"For a <span class=""highlight-radical"">child</span> to look directly at the <span class=""highlight-radical"">sun</span>, the kid must have <span class=""highlight-kanji"">thick</span> and dark cornea.","A child who will sit under the cliff all day needs a very THICK book.
If you stare at the sun for too long, you'll get very 暑い!　（あつい）.",0,0,cchammy1,c,,Tue Jun 12 2018 01:23:12 GMT-0400 (EDT)
k青,,"A Eiffel 65 しょう : ""Blue are the words I せい and what I think..."".",,0,,c,,Mon Oct 22 2018 03:05:30 GMT-0400 (EDT)
k少,,A few <b>Shou</b>guns have a face like that (the kanji looks like a weird face).,,0,,c,,Mon Apr 29 2019 00:52:44 GMT-0400 (EDT)
k類,,A giant demon  KITSUne (きつ) is trying to consume a sword master.,,-6,,VikiO,,Sat Aug 01 2020 18:26:28 GMT-0400 (EDT)
k堂,"This is from ""more/furthermore/rise"" (尚, lvl 54) and ""earth"" (土). Imagine a big HALL risen on the earth.","A good example for a hall is a DOUjou (Dojo) where you can train martial arts. However, keep in mind that Doujou is actually written 道場.|To get into the HALL, you need to come through the DOOR (どう).",0,1|0,johmik,johmik|c,,Tue May 22 2018 21:34:27 GMT-0400 (EDT)
v代わる,,,,,,,,Thu Jun 11 2020 18:46:59 GMT-0400 (EDT)
v著しい,,A truly remarkable creation has to be marked with the ONE (ichi) author SEAL (jirusi) as authenticity guarantee.,,4,,Absolutct,,Tue Jul 02 2019 02:33:51 GMT-0400 (EDT)
v一生,,,,,,,,Wed Feb 26 2020 00:33:29 GMT-0500 (EST)
k若,"The <span class=""highlight-radical"">right</span> <span class=""highlight-radical"">flowers</span> are <span class=""highlight-kanji"">young</span> flowers. You wouldn't want to use old and wilted flowers for that bouquet, would you?","Actually, as it turns out, this is no <span class=""highlight-radical"">narwhal</span> at all, it's Pac-Man! No wait, it's his son, <i>Jr.</i> Pac-Man! You can tell because of how <span class=""highlight-kanji"">young</span> he is. And those <span class=""highlight-radical"">flowers</span> in his <span class=""highlight-radical"">mouth</span> are really pac-dots! What sort of noise does Pac-Man (and family) make while gobbling up pac-dots? <span class=""highlight-reading"">Wakawakawakawakawakawaka</span> (わか)...",0,1,fioraaeterna,PixelJadke,,Wed Oct 30 2019 12:02:25 GMT-0400 (EDT)
v激しい,,"After being hugged for encouragement you get a second <span class=""highlight-reading"">hug</span> (はげ). But that felt a little bit <span class=""highlight-vocabulary"">fierce</span>.",,0,,c,,Sun Feb 10 2019 17:17:42 GMT-0500 (EST)
k冒,,"After you're blinded from the <span class=""highlight-vocabulary"">dare</span> a guy <span class=""highlight-vocabulary"">dare</span>s you to shoot a <span class=""highlight-kanji"">bow</span> (<b>ぼう</b>) and arrow. How <span class=""highlight-vocabulary"">daring</span>.",,0,,c,,Sun Nov 25 2018 21:48:47 GMT-0500 (EST)
k縮,"There is a <span class=""highlight-radical"">lodge</span> next to a <span class=""highlight-radical"">thread</span>. Notice how the lodge appears to be the same size as the thread. This is a very tiny lodge. It was originally a normal-sized one, but it <span class=""highlight-kanji"">shrunken</span> down so that it became thread-size.","Again, think of the radical as <span class=""highlight-radical"">lodge</span>. The reading is the same as the on'yomi for 宿.",1,1,Artur,Artur,,Fri Jul 03 2020 11:11:16 GMT-0400 (EDT)
v〜的,,"All of the <span class=""highlight-vocabulary"">rooftops</span> around here are made out of <span class=""highlight-reading"">oak</span> (おく), so there are no more trees around.",,-2,,jjamesb,,Wed Apr 06 2016 07:36:25 GMT-0400 (EDT)
k記,,,,,,,redfr:8587,Tue Mar 17 2020 14:01:51 GMT-0400 (EDT)
v直す,,"An angry customer threatens a repairman:  ""_Fix_ this _now_ or I'll _sue_ you!"".",,6,,isnorden,,Tue Nov 03 2020 16:43:44 GMT-0500 (EST)
k束,"The <span class=""highlight-radical"">Ent</span> takes his weed and <span class=""highlight-kanji"">bundle</span>s it to sell it. The weed is so nicely<span class=""highlight-kanji""> bundle</span>d into bags.","And the ent has his<span class=""highlight-kanji""> bundle</span>s of weed hidden in his <span class=""highlight-reading"">sock</span> (<b>そく</b>) drawer.",0,0,c,c,,Tue Nov 06 2018 13:41:06 GMT-0500 (EST)
k童,"Someone who stands on a sunflower is a juvenile. Imagine them being juvenile - playing with sunflowers. But, unfortunately the juvenile gets sent to juvy because those flowers were actually protected government property. Sucks.","As the juvenile gets arrested and is about to be sent to juvy, he yells, ""What do (どう) I do ( どう)!? I can't どう time!",3,2,Kaldim,Kaldim,,Sat Aug 29 2020 11:06:49 GMT-0400 (EDT)
k吸,,"Atari was a pretty successful company in its time, was it not?",0,-1|0,,Victini642,,Tue Dec 17 2019 14:11:49 GMT-0500 (EST)
k首,,"As you snap the neck, it somehow keeps talking. ""Cool beans! （くび)"" it says.",,0,,c,,Wed Nov 29 2017 12:58:17 GMT-0500 (EST)
v何回,,"Atari was a pretty successful company in its time, was it not?",,-7,,Victini642,,Wed Oct 09 2019 22:06:17 GMT-0400 (EDT)
k歩,,"Be careful about <i>hopping</i> ほ as you <b>walk</b>,  you might <i>slide</i> a<i> small</i> amount when you <i>stop!</i> That could hurt, so walk safely.",,6,,JadeofDragons,,Sun May 17 2020 08:05:36 GMT-0400 (EDT)
k西,,,,,,,,Mon Aug 19 2019 17:46:39 GMT-0400 (EDT)
v配達する,,"Because you are worried about your pizza being secure, you hire a huge scary guy with tattoos all over his body to deliver it to you, who you affectionately call ""Tats"". When you finally get your pizza at the door, you greet him: <span class=""highlight-reading"">Hi, Tats!</span>  (はいたつ).",,0,,c,,Sat Nov 24 2018 23:00:32 GMT-0500 (EST)
k越,,"Before <b>Etsy</b>, mediocre artists could never <u>Go Beyond</u> selling their art to just family and friends.",,3,,cbodtorf,,Sat Jul 27 2019 05:11:24 GMT-0400 (EDT)
v船,,Boats and ships have a <b>funne</b>l.|Isn't it FUNNY (FU-NE) how every BOAT we SEND (SE-N) out ends up sinking?,,0|1,,seabee|ambo100,,Thu Jun 29 2017 21:55:11 GMT-0400 (EDT)
v末,,,,,,,,Mon Sep 30 2019 01:44:35 GMT-0400 (EDT)
vお金,,"Can I (kane) get some money? For my new cane, of course.",,0,,c,,Mon Nov 20 2017 12:43:07 GMT-0500 (EST)
v八日,,"Refueling your car with yogurt is just too ridiculous. But you can run Diesel engines with oil. Salad oil in fact. ...
But what if you mixed yogurt and oil to make yogurt salad dressing? Hmm, that could work.",,0,,c,,Tue Nov 17 2020 08:55:24 GMT-0500 (EST)
v固い,,"Cat eyes (<span class=""highlight-reading"">かたい</span>) are <span class=""highlight-vocabulary"">hard</span> to look at. So intimidating. They are a <span class=""highlight-vocabulary"">tough</span> animal.",,0,,c,,Sun Nov 11 2018 08:03:46 GMT-0500 (EST)
k昆,,,,,,,redfr:8586,Mon Jan 13 2020 10:44:01 GMT-0500 (EST)
k毛,,"Imagine <span class=""highlight-reading"">Moe</span> from the Simpsons but turning into a werewolf. What does he have now?  What's his name?",,0,,c,,Sun Apr 26 2020 22:04:13 GMT-0400 (EDT)
k談,When you talk and things get heated. You discuss.,Dan (だん) is a fiery speaker. He loves to discuss things.,0,0,c,c,,Wed Nov 25 2020 22:36:12 GMT-0500 (EST)
k悪,,"Darth Vader stole your <b>heart</b> in his <b>tie fighter</b>! <i><b>""Ack!""</b></i> you exclaim!",,0,,ript:void(0),,Tue Nov 07 2017 12:22:33 GMT-0500 (EST)
